0	134	204
0	140	209
0	149	215
0	155	220
0	164	225
0	167	227
72	173	229
132	181	233
178	187	236
218	186	234
0	142	206
0	150	214
0	159	221
0	165	224
0	173	229
0	181	233
74	187	235
145	201	241
180	208	243
225	212	244
0	147	202
0	158	211
0	170	223
0	175	226
0	183	232
0	192	238
74	202	243
142	216	247
191	227	249
224	233	250
0	28	140
0	28	140
0	27	141
0	26	138
32	24	142
58	22	143
82	20	144
102	15	144
123	12	144
153	0	144
0	52	152
0	55	157
0	54	158
0	54	159
24	51	159
64	45	156
88	38	153
108	34	152
131	36	153
163	32	155
0	78	171
0	80	173
0	82	175
0	82	176
14	81	177
65	78	175
95	75	175
118	72	175
147	72	175
176	68	175
0	96	181
0	100	185
0	103	187
0	106	191
0	106	192
63	107	193
96	102	192
123	97	189
156	98	190
189	98	191
0	111	191
0	117	196
0	125	202
0	128	204
0	130	206
45	129	206
89	128	206
128	126	204
166	127	206
201	127	207
0	125	200
0	132	204
0	139	210
0	145	214
0	147	215
22	152	218
76	156	221
124	161	224
167	160	224
212	159	222
0	134	204
0	140	209
0	149	215
0	155	220
0	164	225
0	167	227
72	173	229
132	181	233
178	187	236
218	186	234
0	142	206
0	150	214
0	159	221
0	165	224
0	173	229
0	181	233
74	187	235
145	201	241
180	208	243
225	212	244
0	147	202
0	158	211
0	170	223
0	175	226
0	183	232
0	192	238
74	202	243
142	216	247
191	227	249
224	233	250
0	150	194
0	163	205
0	174	218
0	181	226
0	191	233
0	197	237
69	208	244
142	225	250
192	235	250
225	246	255
